email_freq,schurn,rev_sub,rev_unsub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emails_1,0.005115126,0.289980515,0.126438053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emails_2,0.006803809,0.341245655,0.121589404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emails_3,0.020736727,0.353757488,0.154120469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emails_4,0.036650394,0.355156899,0.138084184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emails_5,0.055842705,0.358784119,0.131037287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 e-mail per week,Calc.,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
Subscribed Revenue,$0.00,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29,$0.29
Unsubscribed Revenue,$0.00 ,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13,$0.13
Churn/Attrition Rate,0.00%,0.00%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%
Prob. of being active at the end of period,100.00%,100.00%,99.49%,98.98%,98.47%,97.97%,97.47%,96.97%,96.47%,95.98%,95.49%,95.00%,94.52%,94.03%,93.55%,93.07%,92.60%,92.12%,91.65%,91.18%,90.72%,90.25%,89.79%,89.33%,88.87%,88.42%,87.97%,87.52%,87.07%,86.62%,86.18%,85.74%,85.30%,84.87%,84.43%,84.00%,83.57%,83.14%,82.72%,82.29%,81.87%,81.45%,81.04%,80.62%,80.21%,79.80%,79.39%,78.99%,78.58%,78.18%,77.78%,77.38%,76.99%
Subscribed Profit,$0.00,$0.29,$0.29,$0.29,$0.29,$0.28,$0.28,$0.28,$0.28,$0.28,$0.28,$0.28,$0.27,$0.27,$0.27,$0.27,$0.27,$0.27,$0.27,$0.26,$0.26,$0.26,$0.26,$0.26,$0.26,$0.26,$0.26,$0.25,$0.25,$0.25,$0.25,$0.25,$0.25,$0.25,$0.24,$0.24,$0.24,$0.24,$0.24,$0.24,$0.24,$0.24,$0.23,$0.23,$0.23,$0.23,$0.23,$0.23,$0.23,$0.23,$0.23,$0.22,$0.22
Unsubscribed Profit,$0.00000,$0.00000,$0.00065,$0.00129,$0.00193,$0.00257,$0.00320,$0.00383,$0.00446,$0.00508,$0.00570,$0.00632,$0.00694,$0.00755,$0.00815,$0.00876,$0.00936,$0.00996,$0.01056,$0.01115,$0.01174,$0.01233,$0.01291,$0.01349,$0.01407,$0.01464,$0.01521,$0.01578,$0.01635,$0.01691,$0.01747,$0.01803,$0.01858,$0.01914,$0.01968,$0.02023,$0.02077,$0.02131,$0.02185,$0.02239,$0.02292,$0.02345,$0.02398,$0.02450,$0.02502,$0.02554,$0.02606,$0.02657,$0.02708,$0.02759,$0.02809,$0.02860,$0.02910
Total Profit,$0.00 ,$0.29 ,$0.29 ,$0.29 ,$0.29 ,$0.29 ,$0.29 ,$0.29 ,$0.28 ,$0.28 ,$0.28 ,$0.28 ,$0.28 ,$0.28 ,$0.28 ,$0.28 ,$0.28 ,$0.28 ,$0.28 ,$0.28 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.27 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.26 ,$0.25 ,$0.25 ,$0.25 ,$0.25 ,$0.25 
Net Profit,$0.0000 ,$0.1160 ,$0.1157 ,$0.1153 ,$0.1150 ,$0.1147 ,$0.1143 ,$0.1140 ,$0.1137 ,$0.1134 ,$0.1130 ,$0.1127 ,$0.1124 ,$0.1121 ,$0.1118 ,$0.1115 ,$0.1111 ,$0.1108 ,$0.1105 ,$0.1102 ,$0.1099 ,$0.1096 ,$0.1093 ,$0.1090 ,$0.1087 ,$0.1084 ,$0.1081 ,$0.1078 ,$0.1075 ,$0.1072 ,$0.1070 ,$0.1067 ,$0.1064 ,$0.1061 ,$0.1058 ,$0.1055 ,$0.1052 ,$0.1050 ,$0.1047 ,$0.1044 ,$0.1041 ,$0.1039 ,$0.1036 ,$0.1033 ,$0.1030 ,$0.1028 ,$0.1025 ,$0.1022 ,$0.1020 ,$0.1017 ,$0.1015 ,$0.1012 ,$0.1009 
Discount #,,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5
Present Value of Expected Profits,$0.00 ,$0.116,$0.115,$0.115,$0.114,$0.114,$0.113,$0.113,$0.112,$0.112,$0.111,$0.111,$0.110,$0.110,$0.109,$0.109,$0.108,$0.108,$0.107,$0.107,$0.106,$0.106,$0.105,$0.105,$0.104,$0.104,$0.103,$0.103,$0.102,$0.102,$0.101,$0.101,$0.100,$0.100,$0.100,$0.099,$0.099,$0.098,$0.098,$0.097,$0.097,$0.096,$0.096,$0.096,$0.095,$0.095,$0.094,$0.094,$0.093,$0.093,$0.093,$0.092,$0.092
CLV,$0.00 ,$0.1159 ,$0.2312 ,$0.3460 ,$0.4603 ,$0.5740 ,$0.6872 ,$0.7999 ,$0.9120 ,$1.0236 ,$1.1347 ,$1.2453 ,$1.3553 ,$1.4649 ,$1.5739 ,$1.6824 ,$1.7905 ,$1.8980 ,$2.0051 ,$2.1116 ,$2.2177 ,$2.3232 ,$2.4283 ,$2.5329 ,$2.6371 ,$2.7407 ,$2.8439 ,$2.9466 ,$3.0489 ,$3.1506 ,$3.2520 ,$3.3528 ,$3.4532 ,$3.5532 ,$3.6527 ,$3.7517 ,$3.8504 ,$3.9485 ,$4.0463 ,$4.1436 ,$4.2404 ,$4.3368 ,$4.4328 ,$4.5284 ,$4.6236 ,$4.7183 ,$4.8126 ,$4.9065 ,$5.0000 ,$5.0930 ,$5.1857 ,$5.2779 ,$5.3698 
